timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
85072549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85276773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85479403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85682309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85884742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86085816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86289199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86495340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86698454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86900279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87104160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87306373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87509774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87711129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87913318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88115862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88316682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88520343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88722830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88923117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89127404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89329392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89532113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89736114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89941694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90145430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90347113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90550357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90753187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90957619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91160113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91361800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91566626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
